"","Bin 1","Bin 10","Bin 100","Bin 101","Bin 102","Bin 103","Bin 104","Bin 105","Bin 106","Bin 107","Bin 108","Bin 109","Bin 11","Bin 110","Bin 111","Bin 112","Bin 113","Bin 114","Bin 115","Bin 116","Bin 117","Bin 118","Bin 119","Bin 12","Bin 120","Bin 121","Bin 122","Bin 123","Bin 124","Bin 125","Bin 126","Bin 127","Bin 128","Bin 129","Bin 13","Bin 130","Bin 131","Bin 132","Bin 133","Bin 134","Bin 135","Bin 136","Bin 137","Bin 138","Bin 139","Bin 14","Bin 140","Bin 141","Bin 142","Bin 143","Bin 144","Bin 145","Bin 146","Bin 147","Bin 148","Bin 149","Bin 15","Bin 150","Bin 151","Bin 152","Bin 153","Bin 154","Bin 155","Bin 156","Bin 157","Bin 158","Bin 159","Bin 16","Bin 160","Bin 161","Bin 162","Bin 163","Bin 164","Bin 165","Bin 166","Bin 167","Bin 168","Bin 17","Bin 18","Bin 19","Bin 2","Bin 20","Bin 21","Bin 22","Bin 23","Bin 24","Bin 25","Bin 26","Bin 27","Bin 28","Bin 29","Bin 3","Bin 30","Bin 31","Bin 32","Bin 33","Bin 34","Bin 35","Bin 36","Bin 37","Bin 38","Bin 39","Bin 4","Bin 40","Bin 41","Bin 42","Bin 43","Bin 44","Bin 45","Bin 46","Bin 47","Bin 48","Bin 49","Bin 5","Bin 50","Bin 51","Bin 52","Bin 53","Bin 54","Bin 55","Bin 56","Bin 57","Bin 58","Bin 59","Bin 6","Bin 60","Bin 61","Bin 62","Bin 63","Bin 64","Bin 65","Bin 66","Bin 67","Bin 68","Bin 69","Bin 7","Bin 70","Bin 71","Bin 72","Bin 73","Bin 74","Bin 75","Bin 76","Bin 77","Bin 78","Bin 79","Bin 8","Bin 80","Bin 81","Bin 82","Bin 83","Bin 84","Bin 85","Bin 86","Bin 87","Bin 88","Bin 89","Bin 9","Bin 90","Bin 91","Bin 92","Bin 93","Bin 94","Bin 95","Bin 96","Bin 97","Bin 98","Bin 99"
"M-2000-ST-10",102268.409906222,965.4942390087,58.932765238195,1739.1435188377,0,2214.3673066096,852.6442630206,382.4360297372,407.513802179,1005.6186749155,43.8861017731239,5001.761713514,5227.4616654901,2189.2895341678,10457.4311082243,3074.5349013628,4283.2835330568,160.4977436274,163.0055208716,17.5544407092496,3831.8836291047,189.3371819354,31.3472155522314,2934.0993756888,964.2403503866,2970.4621457294,2989.2704750607,112.849975988,140.4355256739,2.50777724417851,4725.9062166543,86.5183149241585,75.2333173253553,0,942.9242438111,660.799303841,3799.2825249304,818.7892702242,1025.680892869,52.6633221277487,1479.5885740653,8.77722035462478,462.6849015509,1120.9764281477,229.4616178423,413.7832452894,1.25388862208925,2437.5594813415,126.642750831,0,67.7099855928197,20.0622179534281,1508.4280123733,95.2955352787833,714.7165145908,3.76166586626776,1445.7335812689,2362.3261640161,2292.1084011791,1210.0025203161,2186.7817569236,252.0316130399,440.1149063533,1566.1068889894,2011.2373498311,659.5454152189,119.1194190984,1712.8118577739,125.3888622089,4302.0918623882,634.4676427771,106.5805328775,265.8243878829,1301.5363897286,704.6854056141,22.5699951976066,94.0416466566941,3230.0170905019,12418.5129131719,1949.7968073487,205254.044104278,451.3999039521,8043.6955107025,40.1244359068561,1.25388862208925,511.5865578124,49547.4089018568,1220.0336292928,1108.4375419269,6910.1801963338,205.6377340226,15185.8451021229,39459.8749371488,33.8549927964099,0,13050.4727787049,2433.7978154752,1161.1008640546,1174.8936388976,1342.9147142575,575.5348775389,272.0938309933,318789.897168594,3203.685429438,3653.831444768,821.2970474684,704.6854056141,2843.8193948984,4016.2052565518,2383.6422705916,7451.8600810764,110.3421987438,1060.7897742875,777.4109456953,593.0893182482,2906.5138260028,2852.596615253,112.849975988,939.1625779448,448.8921267079,50.1555448835702,713.4626259687,4587.9784682245,3870.7541763895,1923.4651462849,21.3161065755173,31.3472155522314,3856.9614015465,647.006528998,826.3126019568,159.2438550053,1784.283509233,3277.6648581413,17.5544407092496,278.3632741038,784.9342774278,1.25388862208925,1142.2925347233,206.8916226447,357.3582572954,722.2398463234,156.7360777611,1498.3969033966,477.731565016,986.8103455842,40.1244359068561,17242.2224423493,220.6843974877,7.52333173253552,19727.4296913302,2431.290038231,968.0020162529,30.0933269301421,17.5544407092496,2368.5956071266,571.7732116727,36.3627700405884,872.7064809741,58.932765238195,2430.0361496089,1731.6201871052,392.4671387139,68.963874214909,2081.4551126681,1523.4746758384,157.9899663832,13.7927748429818,0
"M-2006-ST-15",147145.155652297,2875.7930123188,328.4849777002,5177.6669881274,0,1161.4732985097,0,526.8155302739,278.9023395567,749.9374019193,45.8639402826706,4510.7805050983,4208.3264124234,30.9891488396423,11130.0626972459,2191.5526059395,5599.1194123465,251.6318885778,50.8222040970134,560.2838110207,1373.4390765729,306.1727905356,8.67696167509985,5703.2429524477,208.2470802023,2984.8748162343,2880.7512761331,207.0075142488,2051.4816531843,117.7587655906,4864.0568018702,782.1661167125,78.0926550758986,0,2621.6819918337,324.7662798394,3379.0567894745,358.2345605862,580.1168662781,363.1928244006,1647.3831523153,0,1315.1794767544,1606.477475847,88.0091827045842,607.3873172569,256.5901523922,2203.9482654753,1232.1285578641,0,1297.8255534042,2264.686997201,1890.3380792181,389.2237094259,923.4766354213,17.3539233501997,7490.6970575183,1253.2011790751,6207.7462955571,390.4632753794,1771.3397476739,23.5517531181282,83.0509188902414,2513.8397538717,3762.0826691325,334.6828074681,581.3564322316,2430.7888349815,167.341403734,4508.3013731911,251.6318885778,1766.3814838596,649.5325596789,484.670287852,188.414024945,332.2036755609,40.9056764683278,4244.2738250774,7780.7554906573,3586.0643037234,112838.928320859,376.82804989,3273.6936834198,5761.5025522662,0,251.6318885778,56499.4161644358,2221.3021888255,1118.0884901342,22111.3774800615,552.8464152992,31308.9568556674,6563.5017242362,198.3305525737,2.47913190717138,10880.9099405752,2191.5526059395,1247.0033493072,8409.2154291253,190.8931568521,824.3113591344,849.1026782061,310288.149501571,3686.4691459638,1952.3163768974,2599.3698046691,700.3547637759,3102.6335818249,2089.9081977454,3051.8113777279,3465.8264062255,275.183641696,3657.9591290313,690.4382361472,1353.6060213155,2707.2120426311,1253.2011790751,1573.0091951002,2019.252938391,820.5926612737,756.1352316872,432.6085178014,2496.4858305215,1488.7187102564,4474.8330924443,40.9056764683278,304.933224582,2347.7379160913,1725.4758073912,1429.2195444843,601.189487489,859.0192058348,5845.7930371101,26.0308850252995,1396.990829691,1471.3647869062,49.5826381434277,2945.2087057196,313.6101862571,720.1878190332,978.0175373791,348.3180329575,2257.2496014795,2363.8522734879,885.0500908601,592.5125258139,8188.572689387,634.6577682358,6.19782976792846,19138.898323363,3836.4566263477,1013.964950033,12.3956595358569,288.8188671854,4.95826381434277,2476.6527752642,172.2996675484,2660.1085363948,288.8188671854,14915.6971194966,10489.2070992421,1890.3380792181,128.9148591729,461.1185347338,335.9223734217,32.228714793228,259.0692842994,54.5409019577705
"M-2021-ST-1",139777.13979855,4151.6227920782,169.3348255559,1899.6642499148,0,348.401537638,3.89275461048124,720.159602939,153.763807114,2074.8382073865,194.637730524,5381.7332489903,2473.8455549608,184.9058439978,9757.1894311712,2072.8918300812,4889.2997907644,494.3798355311,251.082672376,1796.506252737,2308.4034840153,161.5493163349,83.6942241253467,729.8914894652,64.2304510729405,5072.259257457,2364.8484258673,128.4609021458,1006.2770668094,147.9246751982,720.159602939,272.4928227336,500.2189674468,0,1633.0105590968,0,5056.6882390151,1292.3945306797,591.6987007931,301.6884823122,461.291421342,11.6782638314437,1488.978638509,936.2074838207,110.9435063987,443.7740255948,529.4146270254,2989.6355408495,1424.7481874361,0,231.6188993236,891.4408058002,3497.6400175173,959.5640114836,1823.7555350104,13.6246411366843,4988.5650333317,1578.5119945501,1109.4350639871,441.8276482896,2701.5716996739,0,603.3769646245,1191.1829108072,504.1117220573,369.8116879957,336.7232738066,1780.9352342951,942.0466157364,5560.7999610724,216.0478808817,1716.7047832222,266.6536908179,747.4088852123,544.9856454673,486.5943263101,673.4465476132,17392.8275996301,8369.4224125346,1901.61062722,139056.980195611,2837.8181110408,5806.0435015327,2580.896306749,0,91.4797333463092,50280.7649262809,2730.7673592525,157.6565617244,5013.8679382998,928.4219745997,18833.1468055082,6290.6914505376,216.0478808817,0,11016.4955476619,1360.5177363631,2553.6470244756,589.7523234879,54.4985645467374,803.8538270643,40.873923410053,356329.132402316,1508.4424115614,2528.3441195075,683.1784341394,887.5480511897,5319.4491752226,2429.0788769402,2152.6932995961,3546.2994501484,2693.786190453,655.929151866,842.7813731691,652.0363972556,5173.4708773295,1745.9004428008,3090.8471607221,1294.340907985,2536.1296287285,1481.1931292881,1216.4858157753,3306.8950416038,118.7290156196,6189.4798306651,31.1420368838499,274.4392000389,3406.160284171,10319.6924723857,216.0478808817,434.0421390686,1220.3785703858,2283.1005790472,167.3884482506,932.3147292102,1825.7019123157,0,1247.6278526592,2686.000681232,1555.1554668872,1210.6466838596,455.4522894263,1103.5959320714,239.4044085445,270.5464454284,346.4551603328,12055.8610286604,1169.7727604496,0,16657.0969782492,1827.6482896209,550.824777383,35.0347914943312,50.6058099362562,1592.1366356868,1666.0989732859,108.9971290934,2357.0629166463,0,1514.2815434772,1276.8235122378,297.7957277018,509.950853973,402.9001021848,114.8362610091,13.6246411366843,15.571018441925,461.291421342
"M-2030-ST-1",158947.132467705,1299.2727393484,244.9108358516,2075.5155580646,0,261.5149603161,0,1062.663965729,0,124.5309334838,24.9061866967755,3495.1681997808,2789.4929100388,0,9950.0215853618,1004.5495301032,4860.8574369873,58.1144356258094,0,0,660.0139474645,128.6819646,0,904.9247833161,240.7598047354,11128.9144223425,3744.2300667485,91.3226845548434,8.30206223225849,0,5367.2832331551,755.4876631355,0,0,435.8582671935,282.2701158967,4420.8481386776,83.0206223225849,116.2288712516,24.9061866967755,332.0824892903,0,232.4577425032,2063.0624647162,8.30206223225849,87.1716534387142,0,1403.0485172516,2648.3578520904,0,95.4737156709727,95.4737156709727,6201.640487497,16.604124464517,4043.1043071098,0,2777.0398166904,987.9454056387,8227.3436721681,0,1369.8402683226,0,352.8376448709,107.9268090193,244.9108358516,29.0572178129047,37.3592800451632,896.6227210839,315.4783648258,5180.4868329293,518.8788895161,5151.4296151163,170.1922757612,0,0,929.8309700129,8.30206223225849,4072.1615249227,10580.9783150134,4835.9512502905,128104.971274865,9302.4607312456,4790.2899080131,186.7964002258,0,128.6819646,52082.9874140736,759.6386942516,2656.6599143227,13860.2928967555,33.208248929034,12129.3129213296,2714.7743499485,655.8629163484,0,11477.6010360973,1843.0578155613,1847.2088466775,1477.767077342,523.0299206322,1722.6779131936,701.5242586258,369798.75801149,58.1144356258094,2038.1562780194,1427.9547039484,668.3160096968,9190.3828911101,3661.2094444259,3594.7929465679,2229.1037093614,253.2128980838,3980.8388403679,373.5928004516,444.1603294258,8380.9318234649,1780.7923488194,87.1716534387142,2992.8934347291,323.780427058,58.1144356258094,136.9840268322,4063.8594626905,390.1969249161,1448.7098595291,0,0,1411.3505794839,2316.2753628001,323.780427058,365.2907382193,58.1144356258094,489.8216717032,0,273.9680536645,2669.1130076711,4.15103111612925,925.6799388968,0,99.6247467871019,2204.1975226646,29.0572178129047,2170.9892737355,83.0206223225849,261.5149603161,0,10701.3582173811,0,4.15103111612925,18496.9946534719,3387.2413907614,502.2747650516,0,705.6752897419,0,83.0206223225849,1046.0598412645,2183.4423670839,0,1203.7990236774,2503.0717630259,2054.7604024839,190.9474313419,215.8536180387,0,33.208248929034,8.30206223225849,0
"M-2030-ST-5",175554.389367691,1964.7633982104,17.9498749741347,3447.7471660388,0,296.7961966209,0,626.6251492706,0,675.1147420827,15.7061406023679,3785.0552332611,2905.0127518903,336.1862000363,11118.3270716524,392.154907421,6323.5913710962,148.8343799938,33.9053193955878,30.2904140188524,827.0654198151,166.9089068775,0.373955728627807,2957.1172500791,2774.5022025992,4945.0659034645,3709.5161760783,31.4122812047358,152.9478930087,12.9637985924306,3094.234350576,411.9745610383,4.11351301490587,0,271.2425551647,4.61212065307628,3970.5372746605,561.930808218,248.4312557184,115.4276682364,38.1434843200363,0,668.1342351483,1371.5449606972,0,219.5120127045,1109.2773430196,1680.1830887247,687.7045849465,0,626.7498011802,111.189503312,2713.7967226519,27.2987681898299,1371.5449606972,0.124651909542602,2910.2481320911,1078.4883213625,13462.0322748724,8.60098175843956,1376.1570813503,5.4846840198745,327.4605663684,636.0986943958,384.3018371198,0,102.0899139153,934.0167582027,527.0282735461,4558.2710281538,400.2572815412,2491.0437602993,407.1131365661,13.462406230601,92.3670649710683,296.2975889827,2.99164582902245,3860.5942904439,11035.6828556256,4820.0400381933,136654.018652912,10348.9754859554,4474.8789006698,82.7688679362879,1.62047482405383,218.5147974281,50193.210459791,598.9524253522,1160.0106702034,6055.8390693987,498.981593899,15162.6582767621,1113.3908560345,786.4288973042,0,12048.7289244783,2403.2888159813,2502.0131283391,792.0382332336,578.2602083681,1558.6474769206,240.2042296885,362426.050254664,697.4274338908,2355.7964384456,2092.7809093107,696.9288262526,4986.5749893422,3817.4647297421,2707.3148233557,2320.7692518641,909.8342877514,1805.3336059055,561.6815043989,463.2064958603,4643.4082823714,1522.3737712438,712.5103149455,711.014492031,323.471705263,237.9604953168,2433.2052742715,3283.081993533,48.3649409025297,3666.0126596479,2.24373437176684,4.11351301490587,1960.1512775574,4322.6789191183,554.0777379168,581.7504618353,185.1080856707,476.6689020909,50.8579790933817,287.5719553147,2243.7343717668,0.498607638170409,1138.5705417621,649.1871448978,445.6305766148,1144.9277891488,42.63095306357,2647.8558625039,35.1518384910138,294.4278103396,23.185255174924,10045.4480862192,74.6664938160188,2.61769010039465,16203.8756771715,2436.1969201006,338.0559786795,49.2375042693279,462.0846286744,2013.5022948416,65.9408601480366,343.914618428,2206.5881027231,0,1769.6831597763,2160.3422442828,1232.1841258286,228.4869501915,15.3321848737401,3.11629773856506,48.8635485407001,22.3126918081258,2.36838628130944
"M-2030-ST-8",158265.666829362,2617.917202822,22.1857390069663,8541.509517682,0,488.0862581532,0,443.7147801393,7.39524633565544,1493.8397598023,14.7904926713109,4200.4999186522,2876.7508245699,281.0193607549,10360.7401162532,554.6434751741,7565.3370013755,51.7667243495881,29.5809853426218,7.39524633565544,554.6434751741,44.3714780139326,0,1345.9348330892,103.5334486991,5346.7631006788,2950.7032879265,0,569.4339678454,7.39524633565544,4215.2904113236,295.8098534262,0,0,894.8248066143,88.7429560278653,4999.186522903,1612.1637011728,170.09066572,51.7667243495881,325.3908387688,0,783.8961115794,1382.9110647675,0,1116.6821966839,584.2244605167,3926.875804233,813.477096922,0,443.7147801393,199.6716510626,3712.413660499,110.9286950348,2721.4506515212,0,4866.0720888612,621.200692195,10331.1591309106,22.1857390069663,2277.7358713818,14.7904926713109,547.2482288385,1072.31071867,480.6910118176,0,81.3477096922098,2115.0404519974,451.1100264749,5598.2014760911,125.7191877061,1471.6540207954,236.6478827409,14.7904926713109,73.9524633565544,244.0431290766,0,3209.5369096744,6396.8880803419,2521.7790004585,88129.1505820058,3971.2472822469,2499.5932614515,22.1857390069663,14.7904926713109,59.1619706852435,57926.964547189,1634.3494401798,1153.6584283622,16543.1660528612,621.200692195,25787.2239724305,2869.3555782343,229.2526364053,7.39524633565544,7454.4083063406,2344.2930884027,1907.9735545991,887.4295602786,665.5721702089,1168.4489210335,140.5096803774,383931.608761888,2262.9453787105,1937.5545399417,983.5677626421,658.1769238733,4843.8863498543,2107.6452056618,2255.5501323749,1516.0254988093,2366.4788274097,2699.2649125142,377.1575631184,221.8573900696,5176.6724349588,2788.0078685421,2780.6126222064,961.3820236352,813.477096922,1249.7966307257,7528.3607696972,2292.5263640531,0,7920.3088254869,7.39524633565544,0,2314.7121030601,6618.7454704116,443.7147801393,695.1531555516,266.2288680835,1005.7535016491,88.7429560278653,391.9480557897,2891.5413172412,0,924.4057919569,1774.8591205573,473.2957654819,990.9630089778,7.39524633565544,3054.2367366256,184.8811583913,73.9524633565544,29.5809853426218,7232.550916271,110.9286950348,14.7904926713109,21941.6958778896,2677.0791735072,1397.7015574388,103.5334486991,939.1962846282,2107.6452056618,44.3714780139326,125.7191877061,2824.9841002203,0,1005.7535016491,2018.9022496339,1279.3776160683,192.276404727,29.5809853426218,0,0,36.9762316782772,0
"M-2033-ST-1",175893.574419662,6051.2645356689,268.7998717428,1205.896345193,0,10979.8430592126,0,752.8139033575,521.916120499,1069.1003002542,143.3308878498,1303.0476764712,4129.5850636145,97.5869874722705,7514.1980353648,1703.851375018,2126.8735394626,306.7019606271,163.8067289713,1628.0471972494,2298.9577361213,1259.0464008699,9.14878007552536,4585.7170988085,35.2881517198835,5253.1423881278,2729.386055865,4002.8091111393,1155.3602266806,90.1808321730357,2631.7990683927,1549.6290823163,57.506617617588,0,4044.1964495762,0.435656194072636,2795.6057973641,562.4321465477,798.9934599292,822.5188944091,431.2996321319,32.2385583613751,993.2961224856,1788.8043328622,511.4603718412,4030.2554513659,1195.8762527293,3156.3291260562,2643.5617856327,0,1416.7539431242,1429.8236289463,3752.7424557416,923.1554752399,1829.756015105,6.53484291108954,8810.7108689249,1627.1758848612,11436.4107506007,5.66353052294427,2356.9000099329,52.714399482789,646.9494481978,384.248763172,162.9354165831,641.7215738689,3138.0315659051,5475.3270471048,782.0028683603,3704.8202743936,376.8426078728,3912.1926227722,544.5702425907,1568.7979548555,50.5361185124258,831.2320182905,97.1513312781978,5074.523348558,7249.7547255627,5131.1586537875,125690.297239508,352.8815171988,4797.8816653219,2784.7143925122,13.5053420162517,308.0089292093,40505.1346439033,3795.0011065667,494.0341240783,15350.3459981493,1434.6158470811,21453.0179647188,3043.4941717914,2407.0004722513,0,9495.1267498131,2122.9526337159,2027.1082710199,10838.6904523331,131.1325144158,1845.0039818976,522.351776693,243028.62958245,2099.427199236,2161.7260349884,3029.5531735811,220.0063780066,5515.8430731536,2115.5464784167,2734.1782739998,4623.1835314988,379.4565450372,972.8202813641,2080.2583266968,1049.4957715209,6080.4535006717,1858.0736677197,646.9494481978,1167.9942563087,913.5710389703,52.714399482789,644.7711672275,2870.5386627445,21759.2842691518,5842.5852187081,1424.1600984234,684.8515370821,3669.0964664797,2741.584429299,1101.3388586156,9.14878007552536,1557.0352376156,1658.9787870285,602.5125164024,1121.814699737,4714.671332254,11.7627172399612,3662.9972797627,940.1460668087,932.3042553154,1933.4421892943,1719.9706541987,1338.7714843852,1479.0527788765,1372.7526675228,1290.4136468431,11309.6347981256,880.4611682207,5.66353052294427,13704.0012407488,4771.7422936775,663.9400397666,6.0991867170169,479.6574696739,111.9636418766,2833.9435424424,602.5125164024,5826.4659395274,983.711686216,6046.4723175341,2172.1817836461,864.7775452341,256.6014983087,13280.5434201102,63.6058043346049,327.1778017485,168.5989471061,667.4252893192
"M-2033-ST-2",94602.7462541314,2129.8340830371,32.7838481374031,583.1339796355,0,2079.8910292789,0.41851721026472,613.4067245113,1419.7498829546,1902.1607206531,45.4788701820996,1907.0434214395,1784.1388673585,74.7750749006301,7449.4668369752,440.1405994617,1331.5822573255,210.3746510263,36.5505030297856,756.8186218953,7010.5817891443,589.8302549997,27.7616416142265,11422.0321968079,65.9862134850709,3829.9904968692,2963.2413544109,584.1105197927,1728.61558413,122.0675196605,2539.5624318863,184.2870782532,7.25429831125516,0,1364.0870939894,2.0925860513236,2774.0715753713,39.4801235016386,2289.9866688317,226.9758337002,107.6984287747,37.2480317135601,1193.6110836749,1431.6078705788,71.845454428777,3744.8919974487,168.3834242631,3087.8199773331,1923.7841098501,4.32467783940211,440.0010937249,871.3528317711,2847.5910986411,2319.0038620768,1940.6643039975,0.41851721026472,3606.9208237981,3848.4052541208,5408.4979082509,0.139505736754907,3361.2512213727,22.8789408278047,1351.5315776815,487.1540327481,446.5578633524,1719.1291940307,1450.5806507775,1851.9386554213,170.6155160512,3142.7852376145,771.1877127811,3348.2771878545,124.8576343956,2826.2467209176,14.6481023592652,974.5870769697,1.53456310430398,1088.1447466882,14899.3521911608,2108.0711881033,271930.580829345,376.3864777647,12130.8608452596,838.2899721602,9.48639009933366,60.8245012251394,37179.2553853399,1538.8877821433,350.019893518,7484.0642596904,498.035480215,10553.4694797719,726.5458770195,1161.8037756948,0.41851721026472,18711.4859537253,1039.4572445608,1074.612690223,2512.6378246926,96.5379698343955,907.2058061171,284.0336800329,254290.219922424,4902.3710953041,4550.3981214715,1497.3150725904,367.4581106124,3947.0358100065,5042.8533722163,2111.140314312,11142.1836888776,961.6130434515,1855.0077816299,479.7602287001,1657.467658385,4116.2562686902,4203.3078484253,1004.022787425,1198.7727959349,306.4941036505,56.6393291224922,189.8673077234,5564.6048276797,2425.5862449575,2537.7488573085,1492.4323718039,168.9414472101,6163.223944095,712.4557976073,2612.2449207356,12.8345277814514,3817.016463351,646.1905726487,1743.1241807525,1640.8664757112,2508.1736411164,6.69627536423553,2161.0833680702,402.7530620114,70.8689142714927,1226.6739432858,1677.5564844777,394.2432120693,623.1721260841,902.4626110674,337.1853657366,24725.4387594926,700.1792927728,9.06787288906894,11688.6276597466,4010.9294374403,1424.7720894778,9.90490730959839,270.2226120942,66.8232479056004,2783.4184597339,413.0764865312,1969.402485769,2347.881549585,3091.865643699,696.4126378804,1479.318832549,120.6724622929,1319.0267410176,10.1839187831082,64.8701675910317,290.7299553972,925.8995748423
"M-2034-ST-1",153963.473493185,706.0393947918,44.127462174491,6448.1254102475,0,763.9566888958,16.5477983154341,623.3004032146,0,339.2298654663,0,4316.2173939424,10334.1000479886,0,13036.9071061761,1483.7859156172,6958.34919164,165.4779831543,341.9878318523,2313.9337977748,466.096319218,256.4908738892,0,3218.5467723519,0,1922.3025709762,2440.8002515265,148.9301848389,4318.9753603283,286.8285041341,6963.8651244118,501.9498822348,63.4332268758308,0,835.6638149294,0,3905.2804024424,146.172218453,168.2359495402,1919.5446045903,1059.0590921877,2.75796638590569,46.8854285603967,187.5417142415,137.8983192952,206.8474789429,645.3641343019,366.8095293254,728.1031258791,0,8.27389915771706,1847.8374785568,1034.2373947146,965.2882350669,137.8983192952,281.3125713623,3464.0057806975,692.2495628623,4796.1035450899,0,835.6638149294,0,132.3823865234,4054.2105872813,99.2867898926048,228.9112100301,2319.4497305466,1776.1303525232,245.4590083456,4478.9374107108,85.4969579630763,457.8224200603,162.7200167684,0,2997.9094614794,2.75796638590569,330.9559663086,3364.7189908049,6318.5009901099,2258.7744700567,98528.3491364807,1064.5750249595,2167.7615793218,11.0318655436228,11.0318655436228,85.4969579630763,62881.6335986497,2553.8768733486,2901.3806379727,38390.8920918071,239.9430755737,22314.7060283629,13332.009509468,99.2867898926048,5.51593277181138,13301.6718792231,2592.4884027513,1674.0855962447,8875.1358298445,157.2040839966,1321.0658988488,1318.3079324629,352377.091228012,5902.0480658381,1254.874705587,3243.368469825,672.9437981609,1715.4550920333,984.5939997683,3196.4830412646,2473.8958481574,96.5288235066991,4920.2120324557,766.7146552817,664.6698990032,1748.5506886642,1025.9634955569,4630.6255619356,819.1160166139,863.2434787884,217.8793444865,1362.4353946374,2068.4747894292,176.5098486979,7303.0949898782,118.5925545939,35.853563016774,934.950604822,2689.017226258,722.5871931072,766.7146552817,0,1486.5438820031,82.7389915771707,501.9498822348,1839.563579399,33.0955966308683,1246.6008064293,1282.4543694461,697.7654956341,466.096319218,93.7708571207934,452.3064872885,708.7973611777,79.981025191265,929.4346720502,4443.083847694,0,0,19951.1288356417,559.8671763388,126.8664537516,96.5288235066991,46.8854285603967,0,1053.5431594159,33.0955966308683,1469.9960836877,587.4468401979,6216.4562338314,1232.8109744998,66.1911932617365,5.51593277181138,2.75796638590569,0,0,209.6054453288,239.9430755737
"M-2034-ST-5",197116.384060661,2279.1368326927,318.946262301,3415.3828921401,0,349.3220968058,6.64471379793805,627.450831491,0,99.6707069690708,235.4127174126,1854.8243944529,8505.2336613607,0,9792.4096485041,820.1475316312,6099.8472665071,255.3468588064,256.2961036347,454.6882727446,76.888831090426,214.5293311905,0,12247.1567744281,0,7721.157433204,3681.1714440576,114.8586242215,916.0212592871,36.0713034745208,4626.6192930214,1495.060604536,201.2399035946,0,5087.9522795639,0,4041.8844788028,426.2109278963,142.3867242415,2362.6703775811,989.1131110644,0,508.7952279563,323.6924864424,21.8326310503679,59.8024241814424,935.0061558527,584.7348142185,1262.4956216082,0,110.1124000801,1778.8848081908,4499.4204860323,82.5843000600872,0,37.9697931310746,4599.0911930014,563.8514279964,6600.099291009,60.7516690097193,981.5191524382,1.89848965655373,10.4416931110455,1860.5198634226,0,854.3203454491,5127.8205623516,5056.6272002308,700.5426832683,5137.3130106343,47.4622414138432,580.9378349054,261.9915726044,0,1692.5035288176,13.2894275958761,74.9903414338723,1632.7011046362,4052.3261719139,4794.6356276264,56077.587475284,1852.9259047964,869.5082627016,0,40.8175276159052,397.733583048,54464.8205120416,5490.4320867533,1066.0019421549,22009.1905884273,51.2592207269507,33618.4548382534,17757.5230025753,57.9039345248887,23.7311207069216,5143.008479604,4445.3135308205,1553.9137838892,10908.7215665577,144.285213898,1014.7427214279,260.0930829478,321992.388954967,3016.7000642638,662.5728901372,4015.3056236111,496.4550451888,8789.0578650154,934.0569110244,4144.4029202567,1033.7276179935,76.888831090426,2979.679515961,967.2804800141,260.0930829478,7450.6226571451,582.8363245619,3269.1991885855,1688.7065495045,358.8145450886,122.4525828477,1226.4243181337,1019.4889455693,3.79697931310746,9654.7691484039,7.59395862621491,895.137873065,463.2314761991,4079.8542719339,2628.4589294986,439.5003554921,0,4671.2337999504,22.7818758786447,1174.2158525784,1646.9397770603,24.6803655351985,1845.3319461702,7265.5199156311,362.6115244017,2995.8166780417,46.5129965855663,751.8019039952,1830.1440289177,1164.7234042957,1882.352494473,3828.3043924405,461.3329865425,0,20358.4538320539,294.2658967658,112.9601345649,167.0670897767,408.175276159,0,340.7788933513,1486.5174010815,5731.5402731357,311.3523036748,7846.4577505365,572.3946314509,39.8682827876283,2.84773448483059,4.74622414138432,0,28.4773448483059,15.1879172524298,18.0356517372604
