"","Bin 1","Bin 10","Bin 100","Bin 101","Bin 102","Bin 103","Bin 104","Bin 105","Bin 106","Bin 107","Bin 108","Bin 109","Bin 11","Bin 110","Bin 111","Bin 112","Bin 113","Bin 114","Bin 115","Bin 116","Bin 117","Bin 118","Bin 119","Bin 12","Bin 120","Bin 121","Bin 122","Bin 123","Bin 124","Bin 125","Bin 126","Bin 127","Bin 128","Bin 129","Bin 13","Bin 130","Bin 131","Bin 132","Bin 133","Bin 134","Bin 135","Bin 136","Bin 137","Bin 138","Bin 139","Bin 14","Bin 140","Bin 141","Bin 142","Bin 143","Bin 144","Bin 145","Bin 146","Bin 147","Bin 148","Bin 149","Bin 15","Bin 150","Bin 151","Bin 152","Bin 153","Bin 154","Bin 155","Bin 156","Bin 157","Bin 158","Bin 159","Bin 16","Bin 160","Bin 161","Bin 162","Bin 163","Bin 164","Bin 165","Bin 166","Bin 167","Bin 168","Bin 17","Bin 18","Bin 19","Bin 2","Bin 20","Bin 21","Bin 22","Bin 23","Bin 24","Bin 25","Bin 26","Bin 27","Bin 28","Bin 29","Bin 3","Bin 30","Bin 31","Bin 32","Bin 33","Bin 34","Bin 35","Bin 36","Bin 37","Bin 38","Bin 39","Bin 4","Bin 40","Bin 41","Bin 42","Bin 43","Bin 44","Bin 45","Bin 46","Bin 47","Bin 48","Bin 49","Bin 5","Bin 50","Bin 51","Bin 52","Bin 53","Bin 54","Bin 55","Bin 56","Bin 57","Bin 58","Bin 59","Bin 6","Bin 60","Bin 61","Bin 62","Bin 63","Bin 64","Bin 65","Bin 66","Bin 67","Bin 68","Bin 69","Bin 7","Bin 70","Bin 71","Bin 72","Bin 73","Bin 74","Bin 75","Bin 76","Bin 77","Bin 78","Bin 79","Bin 8","Bin 80","Bin 81","Bin 82","Bin 83","Bin 84","Bin 85","Bin 86","Bin 87","Bin 88","Bin 89","Bin 9","Bin 90","Bin 91","Bin 92","Bin 93","Bin 94","Bin 95","Bin 96","Bin 97","Bin 98","Bin 99"
"SKST007_1_G102966",177313.482243421,2676.5060897578,50.4620303498835,2081.0541316291,44.4065867078975,4004.6667285667,22.2032933539488,310.8461069552,82.757729773809,611.5998078405,185.7002716875,2282.9022530287,23989.6492283346,16.1478497119627,8659.28440804,3150.8491750467,1725.801437966,347.1787688071,440.0289046509,139.2752037656,427.918017367,413.788648869,0,2321.2533960946,290.6612948153,2892.4835796553,2468.6025247163,1439.1771055786,1752.0416937479,88.813173415795,9208.3112982467,1786.3558743858,141.2936849796,115.0534291977,7167.6267908974,50.4620303498835,2305.1055463826,175.6078656175,147.3491286216,1600.6556026983,1521.9348353524,288.6428136013,1146.4973295493,4856.4658008727,179.6448280455,5395.4002850095,555.0823338487,2129.497680765,823.54033531,0,1370.5487443028,10942.1866610687,1677.3578888301,1859.0211980897,193.7741965435,355.2526936631,8086.0357432653,353.2342124491,10104.5169572606,32.2956994239255,983.0003512157,24.2217745679441,193.7741965435,1897.3723411556,831.614260166,222.0329335394,4305.420429452,3582.8041548417,296.7167384573,3566.6563051297,56.5174739918696,1025.3884567096,1033.4623815656,298.7352196713,62.5729176338556,123.1273540537,238.1807832514,2353.5490955185,3944.1122921468,4571.8599496994,62217.6649401924,643.8955072645,1572.3968657023,1386.6965940147,2.01848121399534,369.3820621611,55875.596965819,3138.7382877627,1328.1606388089,26351.2722487091,815.4664104541,29239.7188659365,2517.0460738521,607.5628454125,393.603836729,5205.6630508939,3175.0709496146,1330.1791200229,6838.6143530162,246.2547081074,1519.9163541384,1251.4583526771,261435.705317891,805.3740043841,936.5752832938,4795.9113644529,369.3820621611,3334.5309655203,898.2241402279,2807.7073686675,1955.9082963614,181.6633092595,10976.5008417066,4087.4244583405,1263.569239961,4099.5353456245,676.1912066884,1614.7849711962,1418.9922934387,641.8770260505,58.5359552058649,1094.0168179854,1560.2859784183,3784.6522762412,6640.8031940446,191.7557153295,498.5648598568,1390.7335564427,1970.0376648594,712.5238685403,250.2916705354,290.6612948153,28712.8952690837,157.4415346916,684.2651315444,3055.9805579889,131.2012789096,5070.4248095562,1408.8998873687,278.5504075313,1253.4768338911,1507.8054668545,3368.8451461582,1816.6330925958,490.4909350008,1451.2879928626,4206.5148499662,1406.8814061547,145.3306474076,18921.2428999923,9676.5989398936,183.6817904735,8.07392485598137,242.2177456794,20.1848121399534,458.1952355769,179.6448280455,4535.5272878475,121.1088728397,20186.8306211674,11537.6386191973,4676.8209728272,48.4435491358882,2476.6764495722,181.6633092595,60.5544364198602,153.4045722636,6.05544364198602
"SKST007_2_G102967",187668.646878766,2242.4035579825,39.9953072172865,2402.3847868516,0,2535.7024775759,2.66635381448577,178.6457055705,2.66635381448577,557.2679472275,226.6400742312,3055.6414714006,18656.4776399569,0,9406.8962575057,1034.5452800204,1202.525570333,271.9680890775,610.5950235172,141.3167521677,237.3054894892,629.2595002186,7.9990614434573,2135.749405403,0,2378.3876025213,2674.3528759292,1061.2088181653,2951.6536726357,111.9868602084,7300.476744062,1757.1271637461,165.3139364981,0,6412.5809238382,23.9971843303719,2866.3303505721,135.9840445387,114.6532140228,1674.470195497,2071.7569138554,277.3007967065,618.5940849606,2919.6574268619,154.6485212401,11539.9793090944,557.2679472275,1317.1787843559,602.5959620737,0,1018.5471571335,7783.0867844839,1186.5274474461,2039.7606680816,274.634442892,215.9746589733,7668.433570461,221.3073666023,11217.3504975416,21.3308305158861,898.5612354817,10.6654152579431,162.6475826836,3415.5992363562,439.9483793901,103.9877987649,2477.0426936572,3570.2477575964,207.9755975298,4252.8343341047,23.9971843303719,946.5556041424,917.2257121831,63.9924915476584,13.3317690724288,53.3270762897153,103.9877987649,1962.4364074615,3527.5860965646,4679.4509444225,53817.6853915807,725.2482375401,935.8901888845,2247.7362656115,2.66635381448577,554.601593413,64456.4371113789,2223.7390812811,1415.8338754919,23546.5705357238,639.9249154765,30601.7427288531,714.5828222821,455.946502277,23.9971843303719,4554.1323151416,4375.4866095711,1493.158136112,7852.4119836605,114.6532140228,1919.7747464297,1447.8301212657,290187.28469193,207.9755975298,418.6175488742,5743.3261164023,466.611917535,3236.9535307857,453.2801484625,3351.6067448086,2026.4288990091,279.967150521,10454.7733065986,3071.6395942876,1295.84795384,2546.3678928339,394.6203645438,1229.1891084779,735.913652798,663.9220998069,247.9709047471,1287.8488923966,1362.5067992022,2495.7071703586,5913.9727605294,82.6569682490588,202.6428899009,719.9155299111,2791.6724437665,810.5715596036,21.3308305158861,0,26212.9243502095,15.9981228869146,530.6044090826,3364.938513881,45.328014846258,5713.9962244429,1114.535894455,191.9774746429,863.8986358933,847.9005130064,3220.9554078988,1293.1816000255,170.646644127,1853.1159010676,2818.3359819114,346.6259958831,18.6644767014004,18968.4410362517,6292.5950021864,103.9877987649,7.9990614434573,333.2942268107,5.33270762897153,1125.2013097129,159.9812288691,4396.817440087,10.6654152579431,17824.5752498373,5538.0168726869,5567.3467646462,31.9962457738292,1637.1412420942,10.6654152579431,31.9962457738292,95.9887373214876,0
"SKST007_3_G102949",178051.301679713,1403.8524733614,37.7718154267649,1906.2176185373,13.8496656564804,3462.4164141201,1.2590605142255,180.0456535342,23.9221497702844,462.0752087207,164.9369273635,1700.9907547186,22749.9644315404,1.2590605142255,7817.5067328261,2975.1599951148,932.963841041,269.4389500442,478.4429954056,81.8389334246572,125.9060514225,462.0752087207,0,1639.2967895215,30.2174523414119,1999.38809659,2140.4028741833,1173.4443992581,2785.0418574667,110.7973252518,5483.208539452,1979.2431283624,180.0456535342,31.4765128556374,6977.7133698376,30.2174523414119,2941.1653612307,96.9476595953631,172.4912904488,1124.3410392033,1461.7692570158,431.8577563793,960.663172354,4965.7346681053,196.4134402191,15354.2429709799,915.3369938419,1420.2202600463,566.5772314014,0,885.1195415005,10278.9700381369,980.8081405816,1695.9545126617,255.5892843877,203.9678033045,9036.2773105963,460.8161482065,7125.023450002,1.2590605142255,888.8967230431,10.072484113804,110.7973252518,1392.5209287333,396.604061981,54.1396021116963,3531.6647424025,4416.784283903,216.5584084467,4046.6204927207,36.5127549125394,1079.0148606912,1400.0752918187,65.4711467397258,11.3315446280295,36.5127549125394,15.1087261707059,1498.2820119283,4197.7077544278,3449.8258089778,51542.1602708491,815.8712132181,1342.1585081643,1633.0014869504,7.55436308535297,1105.4551314899,56374.4345244465,2919.7613324889,1794.1612327713,27360.6440346342,599.3128047713,27839.0870300399,2518.1210284509,538.8779000885,122.1288698798,5600.301167275,4360.1265607628,2137.8847531548,8697.5900322697,120.8698093656,1538.5719483835,2190.7652947523,282807.654584302,225.3718320463,650.9342858545,4192.6715123708,491.0336005479,2960.0512689441,706.3329484805,2881.9895170621,943.0363251548,367.6456701538,12450.8494251759,6416.1723804931,610.6443493993,2535.7478756501,498.5879636332,1415.1840179894,706.3329484805,663.5248909968,101.9839016522,332.3919757555,1585.1571874098,2285.1948333192,5077.7910538714,62.9530257112748,351.2778834689,1073.9786186343,3009.1546289989,467.1114507776,62.9530257112748,51.6214810832453,26897.3097653992,41.5489969694414,532.5825975173,2019.5330648176,109.5382647376,4577.9440297239,867.4926943013,226.6308925605,722.7007351654,833.4980604172,4025.2164639789,1188.5531254288,298.3973418714,1706.0269967755,3831.3211447881,1290.5370270811,62.9530257112748,17234.0203187185,10612.6210744066,156.1235037639,7.55436308535297,73.0255098250787,6.29530257112748,844.8296050453,130.9422934794,3486.3385638903,86.8751754815592,19703.0379871147,16229.2900283666,7514.0731488977,20.1449682276079,1091.6054658335,6.29530257112748,45.3261785121178,124.6469909083,1.2590605142255
"SKST007_4_G102948",179939.645407565,2372.2128340027,55.2248202432101,2270.3537211097,4.90887291050757,2336.6235054016,51.5431655603294,204.9454440136,19.6354916420303,339.9394490526,174.264988323,1910.778780415,22088.7008790564,1.22721822762689,8174.5006142227,1354.8489233,964.5935269147,326.4400485487,582.9286581227,87.1324941615093,141.130096177,344.8483219631,2.45443645525378,8634.7074495828,28.2260192354185,2515.7973666351,2086.2709869657,969.5023998252,2869.2362161916,132.5395685837,7357.1732746232,1482.4796189732,310.4862115896,51.5431655603294,7519.1660806699,31.9076739182992,3169.9046819602,109.2224222587,144.8117508599,1174.4478438389,1923.0509626913,487.2056363678,840.6444859244,3689.0179922464,195.1276981926,20325.1882859565,603.7913679924,1519.296165802,619.7452049515,28.2260192354185,904.459833761,8494.8045716333,1519.296165802,1440.7541992339,196.3549164203,385.3465234748,8969.7380257249,400.0731422063,8439.5797513901,4.90887291050757,796.4646297298,11.044964048642,111.676858714,2366.0767428646,731.4220636656,65.0425660642252,3734.4250666686,4038.77518712,323.9856120934,3766.3327405869,53.9976020155832,997.7284190606,1040.6810570276,153.4022784533,8.59052759338824,29.4532374630454,18.4082734144034,2183.2212269482,3061.909477929,3885.3729086667,54844.3825926457,1082.4064767669,1186.7200261152,1222.3093547163,1.22721822762689,1303.3057577397,55714.4803160332,2526.8423306837,2971.0953290847,27959.7128800234,754.7392099905,29995.6679196564,1818.737413343,602.5641497648,266.306355395,4730.9262675016,4969.0066036612,1774.5575571484,9425.0359881745,92.0413670720168,1796.6474852457,2744.0599569737,276570.808650907,173.0377700953,689.6966439263,4473.2104397,279.8057558989,4016.6852590228,786.6468839088,3912.3717096745,1108.178059547,454.0707442219,11673.2997811869,3336.8063609175,789.101320364,3063.1366961567,456.5251806772,888.5059968018,994.0467643777,590.2919674885,103.0863311206,942.5035988174,1678.8345353935,2109.5881332906,5394.8513286478,60.1336931537177,617.2907684963,1055.4076757591,3050.8645138804,2197.9478456797,46.6342926498219,88.3597123891362,23373.5983633817,34.362110373553,433.2080343522,2461.7997646195,105.5407675759,4578.7512072759,872.5521598427,247.8980819806,951.0941264108,1298.3968848292,2941.6420916216,1348.7128321619,393.9370510682,1286.1247025529,3585.9316611257,938.8219441345,17.1810551867765,17124.6031483056,7892.2404218685,141.130096177,2.45443645525378,116.5857316245,14.7266187315227,1077.4976038564,89.5869306167631,4118.5443719158,28.2260192354185,18691.7608249851,8145.0473767596,5953.235622218,51.5431655603294,1407.619307088,23.3171463249109,20.8627098696572,141.130096177,4.90887291050757
"SKST007_6_G102995",174926.646174169,2300.6427192358,42.8691189919724,1413.0931815872,43.6629915658978,5495.9798292856,1.58774514785083,306.4348135352,16.6713240524337,194.4987806117,104.7911797581,1089.9870439995,27221.8905599024,10.3203434610304,6909.8668834468,1211.4495478101,962.9674321715,288.1757443349,480.2929072248,140.5154455847,480.2929072248,645.4184026013,3.17549029570166,7505.2713138908,104.7911797581,2938.1223960979,2162.5088913728,1607.5919621989,3153.2618636317,130.9889746976,11038.7981404328,2009.2914846052,46.8384818615994,50.0139721573011,9584.4235850015,45.2507367137486,2418.1358601768,258.0085865257,154.8051519154,1377.3689157605,722.4240422721,185.7661822985,1095.544152017,5769.8658672899,307.2286861091,3205.6574535108,516.8110456254,1512.3272533279,937.5635098059,4.76323544355248,947.8838532669,7267.1095417132,1933.0797175083,1443.2603393964,227.8414287165,355.6549131185,6797.9308505233,401.6995224062,14777.1440910476,13.495833756732,735.9198760288,1.58774514785083,106.378924906,643.0367848795,327.0755004572,142.8970633065,5298.3055583782,2961.9385733157,413.6076110151,3843.9310029468,73.0362768011381,844.6804186566,1351.171120821,141.3093181587,67.4791687836602,23.8161772177624,34.1365206787928,3350.9361345391,3421.5907936185,3866.1594350167,44742.6582664363,879.6108119093,1191.602733462,5969.1278833451,4.76323544355248,885.9617925007,47384.6661924601,2855.5596484097,1151.9091047657,30409.2889442129,730.3627680113,34683.4988822274,2717.4258205466,329.457118179,199.2620160552,4644.1545574636,3255.6714256681,1521.853724215,7095.6330657453,134.1644649933,2035.4892795447,1193.9843511838,245929.815313484,413.6076110151,629.5409511228,4276.5915557362,445.3625139721,3187.3983843105,643.8306574535,2421.3113504725,535.0701148257,521.5742810689,16699.903465095,11881.0969413677,373.9139823188,4169.4187582562,751.7973275073,2599.1388070318,1139.2071435829,908.1902245706,138.9277004369,318.342902144,1482.1600955187,6131.8717609998,5895.2977339701,68.2730413575856,1500.419164719,1140.7948887308,1802.8846153846,2395.1135555329,86.5321105578701,98.4401991667513,35737.7616604003,96.8524540189005,1062.2015039122,1897.3554516817,172.2703485418,6223.9609795752,1351.171120821,358.0365308403,1113.8032212173,1305.9203841073,4005.0871354537,804.9867899603,391.3791789452,1936.255207804,3647.8444771872,914.541205162,144.4848084544,13971.3634285133,11203.9236358093,75.4178945229143,10.3203434610304,130.1951021237,23.8161772177624,455.6828574331,231.0169190122,3076.2562239609,58.7465704704806,33389.4865867289,9763.0449141347,5061.7315313484,20.6406869220608,3639.905751448,56.3649527487044,14.2897063306575,102.4095620363,0.793872573925414
"SKST007_7_G103016",156455.9001895,1602.9706114949,28.7767330521029,1145.7402974448,5.32902463927832,4609.6063129757,18.1186837735463,367.7027001102,0,277.1092812424,137.4888356933,1075.3971722063,21745.6179430391,5.32902463927832,6645.29372518,1375.9541618616,1022.1069258135,174.7920081683,508.3889505871,108.7121026412,68.2115153827625,541.4289033506,0,9359.8988764284,154.541714539,3043.9388739557,1923.7778947794,1236.3337163125,2306.4018638796,180.1210328076,8121.4335502601,2051.6744861221,25.5793182685359,10.6580492785566,7322.0798543684,54.3560513206389,2457.7461636351,334.6627473466,116.1727371362,1210.754398044,806.8143303867,199.305521509,1016.7779011743,5399.3677645167,220.6216200661,1769.2361802404,587.2585152484,1281.0975232825,1062.607513072,1.06580492785566,901.6709689658,7535.2408399395,2045.279656555,1034.8965849478,103.3830780019,308.0176241502,6200.8530702642,414.5981169358,7728.1515318814,13.8554640621236,616.0352483005,6.39482956713399,91.6592237955871,932.5793118737,227.0164496332,204.6345461482,3677.027001102,3674.8953912463,528.6392442164,3617.3419251421,28.7767330521029,378.3607493887,944.3031660801,34.1057576913813,58.6192710320615,22.381903484969,23.4477084128246,2745.5134941561,3456.4053810359,4242.9694177934,38305.0291071325,450.8354844829,847.3149176452,4149.1785841421,4.26321971142266,268.5828418196,45789.111310535,3351.956498106,893.144529543,23622.5004209929,737.5370100761,32492.1290306077,1220.3466423947,412.4665070801,109.7779075691,4265.3513212783,3178.2302948655,1327.9929401081,5242.694440122,99.1198582905768,1915.2514553566,968.8166794207,225398.557752772,506.2573407314,655.4700306312,3841.1609599918,378.3607493887,3250.7050299597,384.7555789558,2099.6357078756,764.1821332725,368.768505038,11285.8083810636,133245.866275587,446.5722647715,4414.5640111781,551.0211477013,2597.3666091842,1156.3983467233,471.0857781122,183.3184475911,482.8096323186,1171.3196157133,5152.1010212542,6675.13626316,57.5534661042059,730.0763755811,802.5511106753,2055.9377058335,3453.2079662523,85.2643942284532,36.2373675470926,28687.205438163,86.3301991563088,1147.8719073005,1908.8566257894,605.377199022,5826.7555405869,951.7638005751,208.8977658597,1038.0939997314,894.2103344709,3120.6768287613,480.6780224629,310.1492340059,1746.8542767554,2895.7919889838,980.5405336272,42.6321971142266,13742.4887397709,10514.1656132961,51.1586365370719,17.0528788456906,108.7121026412,10.6580492785566,200.3713264368,126.8307864148,3400.9835247874,44.7638069699379,18956.4064468408,9176.5804288372,4954.9271096009,33.0399527635256,3248.573420104,44.7638069699379,7.46063449498965,100.1856632184,3.19741478356699
"SKST007_8_G102999",187057.381148268,1812.1494673786,59.1502793506375,1373.8996703716,13.4432453069631,2715.5355520065,10.7545962455705,220.4692230341,0,561.927653831,104.8573133943,1900.8748864045,19266.8591739394,8.06594718417784,8926.3148838234,2349.8792796571,1099.6574661095,276.9308533234,365.6562723493,137.121102131,120.9892077626,647.9644237956,8.06594718417784,3118.8329112154,72.5935246576005,2048.7505847811,2204.6922303419,881.8768921367,2164.362494421,137.121102131,9485.5538885931,2433.2274005603,155.9416455607,21.5091924911409,7573.9244059429,72.5935246576005,2731.6674463748,91.4140680873488,137.121102131,1513.709421564,1129.2326057848,430.1838498228,704.4260540848,4011.4643995977,188.2054342974,10719.6438077723,457.0703404367,1943.8932713868,411.363306393,37.6410868594966,1180.3169379513,9267.7733146203,919.5179789962,941.0271714874,365.6562723493,91.4140680873488,7641.1406324778,344.1470798582,11499.3520355762,13.4432453069631,946.4044696101,2.68864906139261,137.121102131,2188.5603359735,368.3449214107,69.9048755962079,3651.1854253711,3906.6070862034,198.960030543,3753.354089704,64.5275774734227,387.1654648405,1126.5439567235,142.4984002538,21.5091924911409,29.5751396753187,26.8864906139261,1333.5699344507,3444.1594476439,4369.0547247629,53990.761801825,604.9460388133,1183.0055870127,1602.4348405899,8.06594718417784,338.7697817354,59491.7377814343,2546.1506611388,1785.2629767646,25563.6752757209,707.1147031462,28155.5329709034,535.0411632171,387.1654648405,115.6119096398,4691.6926121301,4508.8644759554,1365.8337231874,8060.569886055,118.3005587012,1927.7613770185,1430.3613006608,279533.465614867,96.791366210134,548.484408524,5000.8872541902,352.2130270424,2586.4803970596,747.4444390671,2965.579914716,1188.3828851355,298.4400458145,12945.8452306054,6178.5155430802,924.895277119,2632.1874311033,637.20982755,1806.7721692558,1002.8660998994,497.4000763576,145.1870493152,941.0271714874,1822.9040636241,3172.6058924432,5431.071104013,72.5935246576005,322.6378873671,1062.01637925,2339.1246834115,1290.5515494684,24.1978415525335,45.7070340436744,30526.9214430517,13.4432453069631,524.2865669715,2651.0079745331,155.9416455607,5006.264552313,868.4336468298,209.7146267886,645.2757747342,1018.9979942678,3519.4416213629,1513.709421564,279.6195023848,1597.0575424672,3013.9755978211,957.1590658557,5.37729812278523,18070.4103416197,8689.7137664209,64.5275774734227,0,145.1870493152,61.8389284120301,1734.1786445982,104.8573133943,2968.2685637774,45.7070340436744,20361.1393419262,8821.4575704291,6232.288524308,34.952437798104,1828.2813617469,26.8864906139261,45.7070340436744,164.0075927449,13.4432453069631
"SKST010_1_G102968",247324.340344064,6602.5957072612,176.8065619379,1049.9350021691,0.778883532766462,2043.7903899791,60.752915555784,700.216295957,95.0237909975084,312.3322966393,247.6849634197,1124.7078213147,9801.4703763331,1596.7112421712,7439.8955049852,2148.1607833699,1867.7627115739,405.0194370385,438.5114289475,247.6849634197,442.4058466113,995.4131548755,0,989.9609701461,730.5927537349,4448.2038556292,2745.5644530017,355.1708909415,1069.4070904883,43.6174778349219,5065.0796135803,1081.0903434798,43.6174778349219,43.6174778349219,8502.2926436786,6.23106826213169,2906.0144607516,316.2267143031,243.0116622231,1950.3243660472,585.7204166403,759.4114444473,1338.9007928255,2701.168091634,225.8762245022,113.7169957839,939.3335405163,1201.0384075258,1203.3750581241,0,1028.1262632517,6421.1158441267,2748.6799871328,1796.8843100922,209.5196703141,170.5754936758,10042.1453879579,538.2085211416,7536.4770630482,116.8325299149,1021.1163114568,43.6174778349219,144.8723370945,432.2803606853,914.4092674678,197.0575337899,4322.024723321,5012.1155333521,616.875757951,3766.6807644586,115.2747628494,1010.2119419981,777.3257657009,220.4240397729,910.5148498039,106.707043989,451.7524490045,4302.5526350019,3879.6188767097,5831.5010098225,51709.2988568326,498.4854609705,1743.1413463313,1819.4719325424,3.11553413106585,162.7866583481,43015.4008640933,4381.9987553441,791.3456692907,15918.8216426809,1182.3452027394,32826.0464884425,5931.1981020166,1500.1296841082,232.8861762971,5496.5810907329,3070.3588861653,2601.4709994399,6631.4143979736,391.7784169815,2029.7704863894,799.9133881511,261300.626456025,567.8060953867,771.0946974387,5763.7381424718,836.5209141911,6034.7896118745,645.6944486633,3793.9416881054,1265.6857407455,791.3456692907,6278.5801576304,3325.05380138,264.0415176078,7069.1469433884,700.9951794898,1400.432591914,2986.2394646266,630.116778008,378.5373969245,401.9039029074,1658.2430412597,2834.3571757371,7661.8773118236,42.0597107693889,634.7900792046,1236.8670500331,2772.0464931158,478.2344891186,15.5776706553292,315.4478307704,19986.1514507874,117.6114134477,816.2699423392,5310.4279264017,83.3405380060114,6519.2551692552,2190.2204941392,677.6286735068,2159.0651528286,2987.7972316921,2902.8989266206,1059.2816045623,1816.3563984113,1626.3088164163,3980.8737359693,604.4136214267,18.6932047863951,14018.3458227307,5056.5118947198,151.8822888894,2.33665059829939,462.6568184632,1602.1634269006,726.6983360711,349.7187062121,4376.5465706147,65.4262167523828,14633.6638136162,3281.4363235451,4473.9070122105,274.9458870665,1967.459803768,37.3864095727902,381.6529310555,205.6252526503,65.4262167523828
"SKST010_2_G102969",212672.162033113,2289.3247509873,42.5662645696921,669.9559901838,0,1413.9402665758,81.4311148289761,231.3383944005,12.954950086428,916.1000418259,220.2341514692,2248.6091935728,10304.7374401758,68.4761647425481,7404.6793279712,1252.9287440731,1478.7150170079,179.5185940547,521.8994177675,86.9832362945882,59.2226289665281,399.752745524,0,1038.2467140694,305.3666806086,3079.5767062594,2583.5871886647,157.3101081923,429.3640600073,25.909900172856,8211.5876476401,1787.783111927,42.5662645696921,14.805657241632,8863.0365662719,0,1956.1974630506,107.3410150018,107.3410150018,1791.4845262374,888.3394344979,83.2818219841802,997.5311566549,5313.3802425906,96.2367720706082,196.1749584516,558.9135608716,3107.3373135875,916.1000418259,11.104242931224,1447.2529953695,14466.9778322296,1730.4111901157,212.8313228484,109.191722157,31.4620216384681,5198.636398968,494.1388104394,14685.3612765437,12.954950086428,694.0151832015,11.104242931224,48.1183860353041,1147.4384362264,640.3446757005,25.909900172856,3490.4336947147,4526.8297016289,706.9701332879,3368.2870224712,46.2676788801001,351.6343594887,547.8093179403,66.6254575873441,116.5945507778,44.4169717248961,338.6794094023,3549.6563236812,3521.8957163532,4278.8349428316,50131.955420166,329.4258736263,788.4012481169,8317.0779554867,9.25353577602002,244.2933444869,52219.5530912361,4898.8218398249,779.1477123408,32872.2604907335,682.9109402702,44966.6317499916,1402.8360236446,642.1953828557,9.25353577602002,5716.8344024251,2961.1314483264,1291.7935943323,7634.1670152165,136.952329485,2417.0235446964,777.2970051856,251759.097151021,111.0424293122,436.7668886281,8032.0690535853,819.8632697553,3446.0167229898,1008.6353995861,2946.3257910847,1228.8695510554,235.0398087109,7508.3189286626,2720.5395181498,327.5751664711,3901.29068317,375.6935525064,697.7165975119,906.8465060499,706.9701332879,123.9973793986,692.1644760462,1517.5798672672,1354.7176376093,8287.4666410035,48.1183860353041,855.0267057042,3172.1120640196,2937.0722553087,405.3048669896,111.0424293122,42.5662645696921,34693.3563314542,194.3242512964,877.2351915666,2605.7956745272,196.1749584516,7115.9690117593,592.2262896652,111.0424293122,1332.5091517468,518.1980034571,3755.0848179089,433.0654743177,407.1555741448,2254.1613150384,3494.1351090251,1687.844925546,1.850707155204,14542.856825593,12199.8615671047,107.3410150018,1.850707155204,125.8480865538,51.8198003457121,175.8171797443,161.0115225027,4199.2545351578,49.9690931905081,18135.079413844,7978.3985460844,3884.6343187732,153.6086938819,579.2713395788,7.40282862081601,196.1749584516,57.3719218113241,40.7155574144881
"SKST010_3_G102970",198303.043185602,5182.9808339533,573.9185885853,2026.4285967336,0,3726.9281184681,14.1708293477876,336.5571970099,0,389.6978070641,265.703050271,1576.5047649413,7666.418677153,354.2707336946,7988.8050448152,999.043469019,2161.0514755376,297.5874163035,1200.9777872249,187.7634888581,95.6530980975662,775.8529067913,0,10684.8053282318,162.9645374995,2504.6940872214,3347.8584334148,828.9935168455,1955.5744499946,53.1406100542034,6592.9783540581,1346.2287880398,28.3416586955752,3.54270733694689,10957.5937931767,0,3124.6678711871,219.6478548907,123.9947567931,2263.789988309,400.3259290749,903.3903709214,1551.7058135827,2834.1658695575,283.4165869557,315.3009529882,627.0591986396,1707.5849364084,825.4508095086,0,1094.6965671165,8027.7748255216,1526.9068622241,1983.9161086902,166.5072448365,99.1958054345131,8226.1664363906,226.7332695646,7673.5040918269,85.0249760867255,871.5060048889,17.7135366847345,148.7937081517,1006.1288836929,446.3811244553,77.9395614128317,2692.4575760796,4839.3382222694,371.9842703794,4272.5050483579,88.5676834236724,889.2195415736,1101.7819817904,21.2562440216814,325.9290749991,67.311439401991,134.6228788039,1923.6900839621,4031.6009494455,4793.2830268891,44397.2083466184,726.2550040741,1580.0474722783,1541.0776915718,21.2562440216814,145.2510008148,47001.0982392744,3397.456336132,4407.1279271619,25015.056506182,1704.0422290714,41481.5602083111,9682.2191518758,740.4258334219,53.1406100542034,5859.6379353101,2720.7992347752,1562.3339355935,9281.8932228008,262.160342934,1293.0881779856,4268.962341021,269242.214900627,258.6176355971,836.0789315194,5700.2161051475,857.3351755411,3323.0594820561,407.4113437488,4329.1883657491,960.0736883126,407.4113437488,7836.4686293265,5381.3724448223,442.8384171183,4361.0727317816,595.174832607,2274.4181103199,2146.8806461898,853.7924682042,775.8529067913,389.6978070641,1254.1183972792,4733.057002161,7949.8352641088,67.311439401991,914.0184929322,1176.1788358663,1629.6453749955,4463.811244553,35.4270733694689,106.2812201084,27558.7203741098,49.5979027172565,276.3311722818,2065.39837744,113.3666347823,5916.3212527013,1438.3391788004,209.0197328798,1452.5100081482,3400.999043469,3454.1396535232,1275.3746413008,733.340418748,2324.0160130371,3489.5667268926,945.9028589648,21.2562440216814,13859.0711021362,6040.3160094944,162.9645374995,17.7135366847345,315.3009529882,425.1248804336,393.2405144011,187.7634888581,4616.1476600418,7.08541467389379,19212.101888263,5186.5235412902,5554.9651043327,53.1406100542034,3036.1001877634,0,70.8541467389379,216.1051475537,67.311439401991
