parameter,Estimate,Naive SE,Robust SE,95%L,95%H,t value,pvalue,feature,qvalue,neg_log10_pvalue,neg_log10_qvalue
disease,0.7839153999594266,0.13197886512827928,0.09146140221259867,0.6036977316222665,0.9641330682965868,8.570996956041018,1.5684317802893108e-15,Bin 55,2.634965390886042e-13,14.80453436640725,12.579225084681386
disease,-0.42541570367554227,0.05089310386323372,0.05687712368187116,-0.5374877074246728,-0.31334369992641165,-7.479557265501066,1.5993253582913801e-12,Bin 151,1.3434333009647593e-10,11.79606317669353,9.871783890631647
disease,0.8111785373758006,0.1361827800729139,0.11044391524938146,0.5935572850577521,1.028799789693849,7.3447100779084655,3.6293559011936473e-12,Bin 73,2.0324393046684427e-10,11.44017044201004,9.691982415003839
disease,1.0433615782642267,0.2070830444016036,0.15985990674088338,0.7283699101234841,1.3583532464049695,6.526724552363274,4.3045524930102e-10,Bin 100,1.807912047064284e-08,9.366071991694268,7.742822701296367
disease,0.09903288086558593,0.01982025545301855,0.01674873024379839,0.0660307943118589,0.13203496741931292,5.9128590301497725,1.2186674609116977e-08,Bin 161,4.0947226686633046e-07,7.914114784614005,6.387775507224161
disease,0.15591218697546658,0.02833480613064793,0.02707118921025656,0.10257048784815437,0.20925388610277879,5.759340151794866,2.714987828250413e-08,Bin 131,7.601965919101157e-07,7.56623211308638,6.11907408174416
disease,1.266700789631511,0.30525161720017846,0.2221316108182188,0.8290075114048786,1.7043940678581433,5.702478746566666,3.6392272293354323e-08,Bin 88,8.734145350405038e-07,7.438990826698578,6.058779584986971
disease,-0.24570972831627602,0.04605860983746168,0.0434496621337744,-0.3313239503854364,-0.1600955062471156,-5.655043474441204,4.6396289517174234e-08,Bin 28,9.74322079860659e-07,7.3335167501919125,6.011297455457993
disease,0.0687380436626465,0.013943464429394996,0.012305936959272203,0.044490140045894085,0.0929859472793989,5.585762700568213,6.598135380045803e-08,Bin 4,1.23165193760855e-06,7.18057877787772,5.909512005591182
disease,0.5915443900890995,0.15355834296627158,0.10737705912050688,0.3799661422221152,0.8031226379560837,5.5090388480953125,9.710419207845573e-08,Bin 43,1.6313504269180564e-06,7.012762020789811,5.787452739063949
disease,0.543825792261026,0.12591517033946006,0.10141277189842471,0.34399971427613335,0.7436518702459186,5.36249805700729,2.0098876307319774e-07,Bin 69,3.069646563299747e-06,6.696828222538323,5.512911625970685
disease,-0.23226522516383324,0.04290261860980668,0.04366083342696732,-0.3182955440471503,-0.14623490628051608,-5.319761601719072,2.478337447971772e-07,Bin 79,3.469672427160481e-06,6.605839560827412,5.4597115251491735
disease,0.5571340825776083,0.1196279332675303,0.1066918173223243,0.3469060510437235,0.7673621141114931,5.221900765777218,3.985971409973432e-07,Bin 17,5.151101514427204e-06,6.399465820671985,5.288099891252959
disease,-0.3831264096741706,0.05213847954213794,0.07467283132575672,-0.53026348853046,-0.23598933081788132,-5.130733666744195,6.170064722917418e-07,Bin 11,7.2070976640425575e-06,6.2097102802684665,5.142239592736259
disease,-0.28857497930217474,0.0574229592290821,0.056341369030855654,-0.39959131966028955,-0.17755863894405996,-5.121902152291243,6.434908628609427e-07,Bin 145,7.2070976640425575e-06,6.191457615406441,5.142239592736259
disease,-0.5198452356425008,0.08058112044582459,0.10693754225040046,-0.7305574492741767,-0.30913302201082504,-4.861204257203266,2.172232392309916e-06,Bin 144,2.280844011925412e-05,5.6630937143967675,4.641904415326829
disease,1.981075973878444,0.6233132890826604,0.4115872162285666,1.1700749763901581,2.79207697136673,4.813259245589138,2.703037476227692e-06,Bin 60,2.5888596543098404e-05,5.568147932989376,4.586891492636157
disease,-0.38814662768318176,0.06155218778539985,0.08091999977845853,-0.5475932721597137,-0.22869998320664986,-4.796671141199251,2.914328811495232e-06,Bin 67,2.5888596543098404e-05,5.535461450176927,4.586891492636157
disease,-0.2778626057842545,0.05819928845990041,0.05805297189771386,-0.3922515281312981,-0.16347368343721086,-4.786363155943732,3.053569835928147e-06,Bin 127,2.5888596543098404e-05,5.515192143127945,4.586891492636157
disease,0.5735450934908564,0.15525162484939484,0.11988026695044793,0.33733023490792013,0.8097599520737925,4.784316118748127,3.081975778940286e-06,Bin 167,2.5888596543098404e-05,5.511170778698038,4.586891492636157
disease,0.3125943995392973,0.07149772034997716,0.06554559632001723,0.18344183624156235,0.4417469628370324,4.769113671849117,3.3010643789365675e-06,Bin 163,2.640851503149254e-05,5.481346005768367,4.578256018776424
disease,0.4398994973356608,0.09974586415782709,0.09278510296375149,0.25707357833562106,0.6227254163357006,4.741057381889386,3.745500705017573e-06,Bin 72,2.8602005383770556e-05,5.426490116845484,4.543603515941827
disease,6.467967038323262,2.114255662612999,1.3866763223748466,3.7356278492098984,9.200306227436625,4.664366827325721,5.2749561885928445e-06,Bin 65,3.846364021109651e-05,5.2777811430693955,4.414949616385104
disease,-0.2734913409151405,0.057126137594688764,0.058750168229450554,-0.38925403508548007,-0.1577286467448009,-4.6551584303046045,5.494805744442359e-06,Bin 83,3.846364021109651e-05,5.260047656399361,4.414949616385104
disease,-0.20228346319819632,0.04926978796733515,0.043598722084630226,-0.28819139645192005,-0.11637552994447256,-4.639664960948635,5.88477948690618e-06,Bin 137,3.954571815200953e-05,5.230269806297879,4.402900533244054
disease,-0.34468723313938965,0.06515125521407981,0.07718272060997339,-0.49676985605736457,-0.19260461022141476,-4.465860109819061,1.2549718238294356e-05,Bin 164,8.109048707820969e-05,4.901366024695106,4.091030090940061
disease,0.2701284019614818,0.0647037271617068,0.06071093473472882,0.15050216798980098,0.3897546359331626,4.449419254402596,1.34664717266479e-05,Bin 35,8.379137963247582e-05,4.870746176390287,4.076800658823411
disease,1.0016533251755608,0.33795015229259184,0.23122224094057942,0.5460476585016222,1.4572589918494991,4.331993847568369,2.215384376066665e-05,Bin 148,0.00013292306256399992,4.654550911462471,3.8763996610788274
disease,-0.30552067784110365,0.07566007689521927,0.07268985191727545,-0.4487504480763595,-0.16229090760584783,-4.203071952723207,3.781940181242433e-05,Bin 138,0.00021909170705128577,4.422285344650624,3.6593740608237177
disease,0.3148406510271791,0.08523366888661385,0.07678001478541976,0.16355152900653527,0.46612977304782305,4.100554706938741,5.735350051263671e-05,Bin 63,0.00032117960287076557,4.241440070231285,3.493252043225084
