gene_id,combined_name,bin,n_genomes
WP_005339874.1,MULTISPECIES: rubredoxin [Clostridia],Bin 1,7
WP_015527491.1,MULTISPECIES: trimeric intracellular cation channel family protein [Mediterraneibacter],Bin 1,7
WP_015527531.1,23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD [[Ruminococcus] torques],Bin 1,7
WP_015527594.1,MULTISPECIES: hypothetical protein [Mediterraneibacter],Bin 1,7
WP_015527650.1,MULTISPECIES: TIGR03905 family TSCPD domain-containing protein [Mediterraneibacter],Bin 1,7
WP_015527654.1,HIT family protein [[Ruminococcus] torques],Bin 1,7
WP_015527756.1,MULTISPECIES: type III pantothenate kinase [Mediterraneibacter],Bin 1,7
WP_015527770.1,MULTISPECIES: TetR/AcrR family transcriptional regulator [Mediterraneibacter],Bin 1,7
WP_015527791.1,MULTISPECIES: YihY/virulence factor BrkB family protein [Mediterraneibacter],Bin 1,7
WP_015527792.1,MULTISPECIES: phenylalanine--tRNA ligase subunit alpha [Mediterraneibacter],Bin 1,7
WP_015527821.1,HAD family hydrolase [[Ruminococcus] torques],Bin 1,7
WP_015527938.1,MULTISPECIES: acylphosphatase [Mediterraneibacter],Bin 1,7
WP_015527977.1,AIR synthase-related protein [[Ruminococcus] torques],Bin 1,7
WP_015528021.1,MULTISPECIES: type IV toxin-antitoxin system AbiEi family antitoxin domain-containing protein [Mediterraneibacter],Bin 1,7
WP_015528097.1,MULTISPECIES: hypothetical protein [Mediterraneibacter],Bin 1,7
WP_015528103.1,MULTISPECIES: GatB/YqeY domain-containing protein [Mediterraneibacter],Bin 1,7
WP_015528171.1,MULTISPECIES: aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme [Mediterraneibacter],Bin 1,7
WP_015528207.1,MULTISPECIES: aldo/keto reductase [Mediterraneibacter],Bin 1,7
WP_015528216.1,MULTISPECIES: anti-sigma F factor [Mediterraneibacter],Bin 1,7
WP_015528224.1,MULTISPECIES: DeoR/GlpR family DNA-binding transcription regulator [Mediterraneibacter],Bin 1,7
WP_015528225.1,MULTISPECIES: BMC domain-containing protein [Mediterraneibacter],Bin 1,7
WP_015528226.1,MULTISPECIES: SLBB domain-containing protein [Mediterraneibacter],Bin 1,7
WP_015528227.1,MULTISPECIES: EutN/CcmL family microcompartment protein [Mediterraneibacter],Bin 1,7
WP_015528228.1,MULTISPECIES: phosphate propanoyltransferase [Mediterraneibacter],Bin 1,7
WP_015528233.1,MULTISPECIES: zinc-dependent alcohol dehydrogenase [Mediterraneibacter],Bin 1,7
WP_015528258.1,MULTISPECIES: NAD(P)H-dependent oxidoreductase subunit E [Mediterraneibacter],Bin 1,7
WP_015528317.1,ABC transporter permease [[Ruminococcus] torques],Bin 1,7
WP_015528342.1,MULTISPECIES: MarR family winged helix-turn-helix transcriptional regulator [Mediterraneibacter],Bin 1,7
WP_015528345.1,MULTISPECIES: 3-hydroxyacyl-ACP dehydratase FabZ [Mediterraneibacter],Bin 1,7
WP_015528356.1,MULTISPECIES: hypothetical protein [Mediterraneibacter],Bin 1,7
WP_015528359.1,MULTISPECIES: ABC transporter permease [Mediterraneibacter],Bin 1,7
WP_015528392.1,MULTISPECIES: bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase [Mediterraneibacter],Bin 1,7
WP_015528408.1,MULTISPECIES: flavin reductase family protein [Mediterraneibacter],Bin 1,7
WP_015528412.1,tRNA pseudouridine(38-40) synthase TruA [[Ruminococcus] torques],Bin 1,7
WP_015528625.1,MULTISPECIES: S-ribosylhomocysteine lyase [Mediterraneibacter],Bin 1,7
WP_015528640.1,MULTISPECIES: HPr family phosphocarrier protein [Mediterraneibacter],Bin 1,7
WP_015528732.1,MULTISPECIES: hypothetical protein [Mediterraneibacter],Bin 1,7
WP_015528741.1,MULTISPECIES: cysteine desulfurase family protein [Mediterraneibacter],Bin 1,7
WP_015528747.1,MULTISPECIES: DUF1292 domain-containing protein [Mediterraneibacter],Bin 1,7
WP_015528755.1,MULTISPECIES: hypothetical protein [Mediterraneibacter],Bin 1,7
WP_015528769.1,MULTISPECIES: NlpC/P60 family protein [Mediterraneibacter],Bin 1,7
WP_015528779.1,MULTISPECIES: 4Fe-4S binding protein [Mediterraneibacter],Bin 1,7
WP_015528785.1,MULTISPECIES: hypothetical protein [Mediterraneibacter],Bin 1,7
WP_015528793.1,MULTISPECIES: SDR family NAD(P)-dependent oxidoreductase [Bacillota],Bin 1,7
WP_015528795.1,MULTISPECIES: phosphoribosylaminoimidazolesuccinocarboxamide synthase [Mediterraneibacter],Bin 1,7
WP_015528849.1,cohesin domain-containing protein [[Ruminococcus] torques],Bin 1,7
WP_015528856.1,MULTISPECIES: hypothetical protein [Mediterraneibacter],Bin 1,7
WP_015528870.1,MULTISPECIES: hypothetical protein [Mediterraneibacter],Bin 1,7
WP_015528890.1,MULTISPECIES: DUF5662 family protein [Mediterraneibacter],Bin 1,7
WP_015528902.1,MULTISPECIES: 5'-methylthioadenosine/adenosylhomocysteine nucleosidase [Mediterraneibacter],Bin 1,7
WP_015528937.1,MULTISPECIES: DUF4364 family protein [Mediterraneibacter],Bin 1,7
WP_015528940.1,MULTISPECIES: transcription termination factor Rho [Mediterraneibacter],Bin 1,7
WP_015528941.1,MULTISPECIES: DUF1385 domain-containing protein [Mediterraneibacter],Bin 1,7
WP_015528947.1,MULTISPECIES: small multi-drug export protein [Mediterraneibacter],Bin 1,7
WP_015528952.1,MULTISPECIES: SPFH domain-containing protein [Mediterraneibacter],Bin 1,7
WP_015528960.1,MULTISPECIES: Mini-ribonuclease 3 [Mediterraneibacter],Bin 1,7
WP_015529020.1,MULTISPECIES: hypothetical protein [Mediterraneibacter],Bin 1,7
WP_015529030.1,MULTISPECIES: Nif3-like dinuclear metal center hexameric protein [Mediterraneibacter],Bin 1,7
WP_015529073.1,MULTISPECIES: hypothetical protein [Mediterraneibacter],Bin 1,7
WP_015529093.1,MULTISPECIES: SpoIIIAH-like family protein [Mediterraneibacter],Bin 1,7
WP_015529098.1,MULTISPECIES: exodeoxyribonuclease VII small subunit [Mediterraneibacter],Bin 1,7
WP_015529110.1,MULTISPECIES: vitamin B12 dependent-methionine synthase activation domain-containing protein [Mediterraneibacter],Bin 1,7
WP_015529133.1,MULTISPECIES: GntR family transcriptional regulator [Mediterraneibacter],Bin 1,7
WP_015529165.1,MULTISPECIES: pantetheine-phosphate adenylyltransferase [Mediterraneibacter],Bin 1,7
WP_015529166.1,MULTISPECIES: hypothetical protein [Mediterraneibacter],Bin 1,7
WP_015529170.1,MULTISPECIES: hypothetical protein [Mediterraneibacter],Bin 1,7
WP_015529173.1,MULTISPECIES: ATP phosphoribosyltransferase regulatory subunit [Mediterraneibacter],Bin 1,7
WP_015529178.1,MULTISPECIES: dTDP-4-dehydrorhamnose reductase [Mediterraneibacter],Bin 1,7
WP_015529179.1,MULTISPECIES: dicarboxylate/amino acid:cation symporter [Mediterraneibacter],Bin 1,7
WP_015529186.1,MULTISPECIES: MFS transporter [Mediterraneibacter],Bin 1,7
WP_015529191.1,MULTISPECIES: Cys-tRNA(Pro) deacylase [Mediterraneibacter],Bin 1,7
WP_015529223.1,MULTISPECIES: ribosome silencing factor [Mediterraneibacter],Bin 1,7
WP_015529226.1,MULTISPECIES: transcriptional repressor LexA [Mediterraneibacter],Bin 1,7
WP_015529229.1,MULTISPECIES: AAA family ATPase [Mediterraneibacter],Bin 1,7
WP_015529237.1,MULTISPECIES: cell division topological specificity factor MinE [Mediterraneibacter],Bin 1,7
WP_015529240.1,MULTISPECIES: rod shape-determining protein MreD [Mediterraneibacter],Bin 1,7
WP_015529262.1,MULTISPECIES: DUF896 domain-containing protein [Mediterraneibacter],Bin 1,7
WP_015529274.1,MULTISPECIES: bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD [Mediterraneibacter],Bin 1,7
WP_015529301.1,MULTISPECIES: metal-sensing transcriptional repressor [Mediterraneibacter],Bin 1,7
WP_015529304.1,MULTISPECIES: UDP-galactopyranose mutase [Mediterraneibacter],Bin 1,7
WP_015529312.1,MULTISPECIES: HPr family phosphocarrier protein [Mediterraneibacter],Bin 1,7
WP_015529325.1,MULTISPECIES: carbohydrate ABC transporter permease [Mediterraneibacter],Bin 1,7
WP_015529352.1,MULTISPECIES: phosphate ABC transporter permease PstA [Mediterraneibacter],Bin 1,7
WP_015529358.1,MULTISPECIES: hypothetical protein [Mediterraneibacter],Bin 1,7
WP_015529369.1,MULTISPECIES: hypothetical protein [Mediterraneibacter],Bin 1,7
WP_015529429.1,MULTISPECIES: 16S rRNA (cytidine(1402)-2'-O)-methyltransferase [Mediterraneibacter],Bin 1,7
WP_015529512.1,MULTISPECIES: hypothetical protein [Lachnospiraceae],Bin 1,7
WP_015529516.1,MULTISPECIES: YlxM family DNA-binding protein [Lachnospiraceae],Bin 1,7
WP_015529543.1,MULTISPECIES: CTP synthase [Mediterraneibacter],Bin 1,7
WP_015529547.1,MULTISPECIES: Wadjet anti-phage system protein JetA family protein [Mediterraneibacter],Bin 1,7
WP_015529572.1,MULTISPECIES: carbohydrate ABC transporter permease [Mediterraneibacter],Bin 1,7
WP_015529574.1,MULTISPECIES: amylosucrase [Mediterraneibacter],Bin 1,7
WP_015529587.1,MULTISPECIES: ROK family glucokinase [Mediterraneibacter],Bin 1,7
WP_015529607.1,phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [[Ruminococcus] torques],Bin 1,7
WP_015529621.1,MULTISPECIES: BMC domain-containing protein [Mediterraneibacter],Bin 1,7
WP_015529622.1,MULTISPECIES: BMC domain-containing protein [Mediterraneibacter],Bin 1,7
WP_015529624.1,DUF975 family protein [[Ruminococcus] torques],Bin 1,7
WP_015529635.1,MULTISPECIES: 3-isopropylmalate dehydratase small subunit [Mediterraneibacter],Bin 1,7
WP_015529640.1,MULTISPECIES: phosphomethylpyrimidine synthase ThiC [Mediterraneibacter],Bin 1,7
WP_015529641.1,MULTISPECIES: energy coupling factor transporter S component ThiW [Mediterraneibacter],Bin 1,7
WP_015529649.1,MULTISPECIES: BMC domain-containing protein [Mediterraneibacter],Bin 1,7
WP_015529650.1,MULTISPECIES: BMC domain-containing protein [Mediterraneibacter],Bin 1,7
WP_015529710.1,MULTISPECIES: metal-dependent transcriptional regulator [Mediterraneibacter],Bin 1,7
WP_015529712.1,MULTISPECIES: ferrous iron transport protein A [Mediterraneibacter],Bin 1,7
WP_015529734.1,aldose epimerase family protein [[Ruminococcus] torques],Bin 1,7
WP_015529762.1,MULTISPECIES: ABC transporter permease [Lachnospiraceae],Bin 1,7
